,transcription,action,object,location
3248,Turn up the temperature in the kitchen,increase,heat,kitchen
3249,Switch off the washroom lights,deactivate,lights,washroom
3250,Turn down the bathroom temperature,decrease,heat,washroom
3251,Turn volume up,increase,volume,none
3252,Increase the heating in the washroom,increase,heat,washroom
3253,I need to practice my Chinese. Switch the language,change language,Chinese,none
3254,Lights on,activate,lights,none
3255,Turn the heat up in the kitchen,increase,heat,kitchen
3256,Turn down the heat,decrease,heat,none
3257,Decrease the heating in the kitchen,decrease,heat,kitchen
3258,Stop,deactivate,music,none
3259,"It’s too loud, turn the volume down",decrease,volume,none
3260,Far too loud,decrease,volume,none
3261,Lamp off,deactivate,lamp,none
3262,Turn off the kitchen lights,deactivate,lights,kitchen
3263,Turn the temperature down,decrease,heat,none
3264,OK now switch the main language to English,change language,English,none
3265,Decrease volume,decrease,volume,none
3266,Bedroom lights off,deactivate,lights,bedroom
3267,Turn the lights off,deactivate,lights,none
3268,Play,activate,music,none
3269,Heat down,decrease,heat,none
3270,Volume max,increase,volume,none
3271,Turn volume down,decrease,volume,none
3272,Play music,activate,music,none
3273,Turn the heat down in the washroom,decrease,heat,washroom
3274,Bedroom lights on,activate,lights,bedroom
3275,Turn down the temperature in the kitchen,decrease,heat,kitchen
3276,Could you increase the heating?,increase,heat,none
3277,Volume up,increase,volume,none
3278,Turn it up,increase,volume,none
3279,Bring juice,bring,juice,none
3280,Far too loud,decrease,volume,none
3281,Switch off the lamp,deactivate,lamp,none
3282,"I need to hear this, increase the volume",increase,volume,none
3283,Turn down the washroom temperature,decrease,heat,washroom
3284,Turn volume up,increase,volume,none
3285,Turn on the bathroom lights,activate,lights,washroom
3286,Turn up the temperature,increase,heat,none
3287,Get me some juice,bring,juice,none
3288,Make it louder,increase,volume,none
3289,Turn the heat down in the kitchen,decrease,heat,kitchen
3290,Turn up the heat in the kitchen,increase,heat,kitchen
3291,Change the language,change language,none,none
3292,Turn the kitchen lights on,activate,lights,kitchen
3293,Washroom lights on,activate,lights,washroom
3294,Make it louder,increase,volume,none
3295,Switch the bedroom lights off,deactivate,lights,bedroom
3296,Increase the heating in the bedroom,increase,heat,bedroom
3297,Play,activate,music,none
3298,Turn down the bedroom heat,decrease,heat,bedroom
3299,Increase the sound volume,increase,volume,none
3300,Turn the lamp on,activate,lamp,none
3301,Far too loud,decrease,volume,none
3302,Lights on in the bathroom,activate,lights,washroom
3303,Turn the kitchen lights on,activate,lights,kitchen
3304,Turn the heat down,decrease,heat,none
3305,Bring my shoes,bring,shoes,none
3306,Switch the kitchen lights on,activate,lights,kitchen
3307,Switch off the lights in the kitchen,deactivate,lights,kitchen
3308,Switch off the lamp,deactivate,lamp,none
3309,That’s too loud,decrease,volume,none
3310,Resume music,activate,music,none
3311,Turn the bathroom lights on,activate,lights,washroom
3312,Decrease the temperature in the washroom,decrease,heat,washroom
3313,Lights off in the bedroom,deactivate,lights,bedroom
3314,Turn down the heat in the washroom,decrease,heat,washroom
3315,Bring some juice,bring,juice,none
3316,Turn down the temperature in the kitchen,decrease,heat,kitchen
3317,Turn on the lights in the bedroom,activate,lights,bedroom
3318,Too loud,decrease,volume,none
3319,Make it louder,increase,volume,none
3320,Set my phone's language to German,change language,German,none
3321,Washroom lights off,deactivate,lights,washroom
3322,Increase the heating in the bedroom,increase,heat,bedroom
3323,"I need to hear this, increase the volume",increase,volume,none
3324,Turn the heat up in the bathroom,increase,heat,washroom
3325,Set language to German,change language,German,none
3326,Could you increase the heating please?,increase,heat,none
3327,Change language,change language,none,none
3328,Washroom lights off,deactivate,lights,washroom
3329,Volume up,increase,volume,none
3330,Set my device to Chinese,change language,Chinese,none
3331,Decrease the temperature in the bathroom,decrease,heat,washroom
3332,Increase the heating,increase,heat,none
3333,Get me my shoes,bring,shoes,none
3334,Switch the language,change language,none,none
3335,Less heat,decrease,heat,none
3336,Turn off the washroom lights,deactivate,lights,washroom
3337,Get me some juice,bring,juice,none
3338,Pause the music,deactivate,music,none
3339,Switch the lights off,deactivate,lights,none
3340,Open language settings,change language,none,none
3341,Turn down the bathroom temperature,decrease,heat,washroom
3342,Turn down the heat in the bathroom,decrease,heat,washroom
3343,Lower the volume,decrease,volume,none
3344,Turn the bedroom lights off,deactivate,lights,bedroom
3345,Turn the heat down in the washroom,decrease,heat,washroom
3346,Turn down the heat in the washroom,decrease,heat,washroom
3347,Lights on,activate,lights,none
3348,Kitchen lights on,activate,lights,kitchen
3349,Lights on in the bathroom,activate,lights,washroom
3350,I need to practice my Korean. Switch the language,change language,Korean,none
3351,Turn the heat up,increase,heat,none
3352,Washroom lights off,deactivate,lights,washroom
3353,Increase the sound volume,increase,volume,none
3354,Turn the bedroom heat up,increase,heat,bedroom
3355,Turn the heat up in the kitchen,increase,heat,kitchen
3356,Increase the temperature,increase,heat,none
3357,Kitchen heat down,decrease,heat,kitchen
3358,Switch the lights off,deactivate,lights,none
3359,Turn off the lights,deactivate,lights,none
3360,Turn the bedroom lights on,activate,lights,bedroom
3361,Bring me some juice,bring,juice,none
3362,Start the music,activate,music,none
3363,Put on the music,activate,music,none
3364,More heat,increase,heat,none
3365,Turn up the bathroom temperature,increase,heat,washroom
3366,Make it quieter,decrease,volume,none
3367,Volume lower,decrease,volume,none
3368,Turn up the heat in the bathroom,increase,heat,washroom
3369,Turn off the music,deactivate,music,none
3370,Turn the temperature down in the bathroom,decrease,heat,washroom
3371,Bedroom heat up,increase,heat,bedroom
3372,Turn off the kitchen lights,deactivate,lights,kitchen
3373,Switch the lights off,deactivate,lights,none
3374,Increase the temperature in the bathroom,increase,heat,washroom
3375,Lamp on,activate,lamp,none
3376,Set my phone's language to English,change language,English,none
3377,Turn the lights on,activate,lights,none
3378,Turn the washroom lights off,deactivate,lights,washroom
3379,I need to practice my German. Switch the language,change language,German,none
3380,Bring my socks,bring,socks,none
3381,Increase the sound volume,increase,volume,none
3382,Decrease the volume,decrease,volume,none
3383,Lights on in the bedroom,activate,lights,bedroom
3384,Switch the bedroom lights on,activate,lights,bedroom
3385,Volume max,increase,volume,none
3386,Set my phone's language to Chinese,change language,Chinese,none
3387,Turn the bathroom lights on,activate,lights,washroom
3388,Turn the lights on,activate,lights,none
3389,Switch the bedroom lights on,activate,lights,bedroom
3390,Kitchen lights off,deactivate,lights,kitchen
3391,Volume lower,decrease,volume,none
3392,Stop the music,deactivate,music,none
3393,Set my phone's language to Chinese,change language,Chinese,none
3394,I need to practice my Chinese. Switch the language,change language,Chinese,none
3395,Turn the temperature up,increase,heat,none
3396,"I couldn't hear anything, turn up the volume",increase,volume,none
3397,More heat,increase,heat,none
3398,Make it quieter,decrease,volume,none
3399,Lights on in the bedroom,activate,lights,bedroom
3400,Bring my shoes,bring,shoes,none
3401,Switch off the lamp,deactivate,lamp,none
3402,Turn the kitchen temperature down,decrease,heat,kitchen
3403,Language settings,change language,none,none
3404,Kitchen heat down,decrease,heat,kitchen
3405,Increase the temperature in the bedroom,increase,heat,bedroom
3406,Decrease the temperature in the washroom,decrease,heat,washroom
3407,Turn up the heat in the bathroom,increase,heat,washroom
3408,Set language to Chinese,change language,Chinese,none
3409,Increase the temperature in the bedroom,increase,heat,bedroom
3410,Turn the sound up,increase,volume,none
3411,Turn the heat down in the kitchen,decrease,heat,kitchen
3412,Louder,increase,volume,none
3413,Decrease volume,decrease,volume,none
3414,Bring my shoes,bring,shoes,none
3415,Turn down the heat,decrease,heat,none
3416,Decrease sound levels,decrease,volume,none
3417,Turn on the kitchen lights,activate,lights,kitchen
3418,Pause the music,deactivate,music,none
3419,Bedroom heat up,increase,heat,bedroom
3420,Turn the bedroom heat up,increase,heat,bedroom
3421,Turn the heat down in the washroom,decrease,heat,washroom
3422,Set my phone's language to German,change language,German,none
3423,Turn the lamp on,activate,lamp,none
3424,Stop the music,deactivate,music,none
3425,Decrease sound levels,decrease,volume,none
3426,Turn up the heat in the kitchen,increase,heat,kitchen
3427,I need volume,increase,volume,none
3428,Turn the heat down,decrease,heat,none
3429,I need to practice my German. Switch the language,change language,German,none
3430,Turn on the kitchen lights,activate,lights,kitchen
3431,Switch on the kitchen lights,activate,lights,kitchen
3432,Turn off the music,deactivate,music,none
3433,Turn on the lights in the bedroom,activate,lights,bedroom
3434,Start the music,activate,music,none
3435,Turn the heat up in the washroom,increase,heat,washroom
3436,Turn the sound up,increase,volume,none
3437,Increase the heating in the bathroom,increase,heat,washroom
3438,Turn the temperature up,increase,heat,none
3439,Turn it up,increase,volume,none
3440,"It’s too loud, turn the volume down",decrease,volume,none
3441,Louder phone,increase,volume,none
3442,Bring me my shoes,bring,shoes,none
3443,Quieter,decrease,volume,none
3444,Stop the music,deactivate,music,none
3445,Turn the lights on in the kitchen,activate,lights,kitchen
3446,Pause the music,deactivate,music,none
3447,Turn the kitchen temperature up,increase,heat,kitchen
3448,Turn the heat down in the kitchen,decrease,heat,kitchen
3449,Turn the temperature down in the washroom,decrease,heat,washroom
3450,Volume up,increase,volume,none
3451,OK now switch the main language to Chinese,change language,Chinese,none
3452,Turn sound up,increase,volume,none
3453,Go get me some juice,bring,juice,none
3454,Bedroom heat down,decrease,heat,bedroom
3455,Could you increase the heating?,increase,heat,none
3456,Turn on the washroom lights,activate,lights,washroom
3457,Turn up the bathroom temperature,increase,heat,washroom
3458,Turn down the heat in the washroom,decrease,heat,washroom
3459,Turn down the washroom temperature,decrease,heat,washroom
3460,Make it louder,increase,volume,none
3461,OK now switch the main language to German,change language,German,none
3462,Bring me some juice,bring,juice,none
3463,Make the music louder,increase,volume,none
3464,Turn up the bathroom temperature,increase,heat,washroom
3465,Turn down the heat in the washroom,decrease,heat,washroom
3466,Turn the volume up,increase,volume,none
3467,Turn the lamp on,activate,lamp,none
3468,Turn the heat up in the washroom,increase,heat,washroom
3469,Pause the music,deactivate,music,none
3470,Use a different language,change language,none,none
3471,Bathroom heat up,increase,heat,washroom
3472,Volume up,increase,volume,none
3473,Use a different language,change language,none,none
3474,Turn the temperature down in the bathroom,decrease,heat,washroom
3475,Lamp off,deactivate,lamp,none
3476,Fetch my shoes,bring,shoes,none
3477,Increase the heating in the washroom,increase,heat,washroom
3478,Turn the temperature down,decrease,heat,none
3479,Lights on in the bedroom,activate,lights,bedroom
3480,Louder phone,increase,volume,none
3481,Turn off the lights,deactivate,lights,none
3482,Turn the bedroom heat up,increase,heat,bedroom
3483,Bring juice,bring,juice,none
3484,Get me some juice,bring,juice,none
3485,Fetch my shoes,bring,shoes,none
3486,Fetch my socks,bring,socks,none
3487,Switch the lights off,deactivate,lights,none
3488,Less heat,decrease,heat,none
3489,Volume mute,decrease,volume,none
3490,Volume up,increase,volume,none
3491,Far too loud,decrease,volume,none
3492,I need to practice my Chinese. Switch the language,change language,Chinese,none
3493,Lights on in the washroom,activate,lights,washroom
3494,Increase the heating in the washroom,increase,heat,washroom
3495,Turn down the temperature in the kitchen,decrease,heat,kitchen
3496,"I need to hear this, increase the volume",increase,volume,none
3497,Turn the heat up,increase,heat,none
3498,Turn the heat up in the bathroom,increase,heat,washroom
3499,Bring newspaper,bring,newspaper,none
3500,Switch on the lights,activate,lights,none
3501,Turn the temperature down,decrease,heat,none
3502,Kitchen heat up,increase,heat,kitchen
3503,Go get me some juice,bring,juice,none
3504,Volume lower,decrease,volume,none
3505,OK now switch the main language to German,change language,German,none
3506,Turn sound up,increase,volume,none
3507,Lower the volume,decrease,volume,none
3508,Turn up the washroom temperature,increase,heat,washroom
3509,Volume down,decrease,volume,none
3510,Open language settings,change language,none,none
3511,Turn up the heat in the washroom,increase,heat,washroom
3512,Use a different language,change language,none,none
3513,Turn on the washroom lights,activate,lights,washroom
3514,Bedroom lights off,deactivate,lights,bedroom
3515,Switch the lights on,activate,lights,none
3516,Turn off the lights,deactivate,lights,none
3517,Too quiet,increase,volume,none
3518,Play music,activate,music,none
3519,Decrease sound levels,decrease,volume,none
3520,Bring me some juice,bring,juice,none
3521,Turn down the heat in the washroom,decrease,heat,washroom
3522,Resume music,activate,music,none
3523,Too loud,decrease,volume,none
3524,Turn down the temperature in the bedroom,decrease,heat,bedroom
3525,Set my device to Chinese,change language,Chinese,none
3526,Decrease the heating in the bedroom,decrease,heat,bedroom
3527,Lamp on,activate,lamp,none
3528,Switch off the lamp,deactivate,lamp,none
3529,Switch on the bathroom lights,activate,lights,washroom
3530,Decrease the temperature in the bathroom,decrease,heat,washroom
3531,Kitchen lights off,deactivate,lights,kitchen
3532,Turn off the music,deactivate,music,none
3533,Turn on the lights,activate,lights,none
3534,Switch the lights on,activate,lights,none
3535,Turn on the lights,activate,lights,none
3536,Switch off the lights in the bedroom,deactivate,lights,bedroom
3537,Increase the heating in the kitchen,increase,heat,kitchen
3538,Increase the heating,increase,heat,none
3539,Bathroom heat up,increase,heat,washroom
3540,Turn up the bedroom heat,increase,heat,bedroom
3541,Turn off the lamp,deactivate,lamp,none
3542,Switch off the lights in the bedroom,deactivate,lights,bedroom
3543,Turn the bedroom lights on,activate,lights,bedroom
3544,"It’s too loud, turn it down",decrease,volume,none
3545,Switch language,change language,none,none
3546,I need to practice my Chinese. Switch the language,change language,Chinese,none
3547,Pause music,deactivate,music,none
3548,Make the music louder,increase,volume,none
3549,I need to practice my German. Switch the language,change language,German,none
3550,Turn the temperature in the bedroom up,increase,heat,bedroom
3551,Turn the lights off,deactivate,lights,none
3552,Bring me some juice,bring,juice,none
3553,"It’s too loud, turn it down",decrease,volume,none
3554,Switch off the lights in the kitchen,deactivate,lights,kitchen
3555,Turn the kitchen lights on,activate,lights,kitchen
3556,Switch on the lights,activate,lights,none
3557,Switch the bedroom lights on,activate,lights,bedroom
3558,Too loud,decrease,volume,none
3559,Increase the heating in the bathroom,increase,heat,washroom
3560,Get me the newspaper,bring,newspaper,none
3561,Turn down the volume,decrease,volume,none
3562,Turn the washroom lights off,deactivate,lights,washroom
3563,Louder phone,increase,volume,none
3564,Increase the heating in the bedroom,increase,heat,bedroom
3565,OK now switch the main language to Chinese,change language,Chinese,none
3566,Turn the sound up,increase,volume,none
3567,Washroom lights off,deactivate,lights,washroom
3568,Far too loud,decrease,volume,none
3569,Lights on in the washroom,activate,lights,washroom
3570,Make it hotter,increase,heat,none
3571,Put on the music,activate,music,none
3572,Lights on in the washroom,activate,lights,washroom
3573,Turn the temperature up,increase,heat,none
3574,Bring my shoes,bring,shoes,none
3575,Washroom heat up,increase,heat,washroom
3576,Put on the music,activate,music,none
3577,Lights on,activate,lights,none
3578,Decrease the temperature in the bathroom,decrease,heat,washroom
3579,Far too quiet,increase,volume,none
3580,Volume max,increase,volume,none
3581,Lower the volume,decrease,volume,none
3582,Bedroom heat down,decrease,heat,bedroom
3583,Lights on in the washroom,activate,lights,washroom
3584,Open language settings,change language,none,none
3585,Make it hotter,increase,heat,none
3586,OK now switch the main language to Chinese,change language,Chinese,none
3587,OK now switch the main language to English,change language,English,none
3588,Switch on the washroom lights,activate,lights,washroom
3589,Switch off the lights,deactivate,lights,none
3590,Resume,activate,music,none
3591,Set my phone's language to English,change language,English,none
3592,Turn the heat down,decrease,heat,none
3593,Pause music,deactivate,music,none
3594,Switch off the washroom lights,deactivate,lights,washroom
3595,Use a different language,change language,none,none
3596,Bedroom lights off,deactivate,lights,bedroom
3597,Heat down,decrease,heat,none
3598,Could you increase the heating please?,increase,heat,none
3599,Increase the sound,increase,volume,none
3600,Switch on the lamp,activate,lamp,none
3601,Less heat,decrease,heat,none
3602,Heat down,decrease,heat,none
3603,Switch off the lamp,deactivate,lamp,none
3604,Bring my shoes,bring,shoes,none
3605,Turn on the lights,activate,lights,none
3606,Increase the heating in the bathroom,increase,heat,washroom
3607,Language settings,change language,none,none
3608,Bathroom heat up,increase,heat,washroom
3609,Turn the temperature up in the washroom,increase,heat,washroom
3610,Switch language,change language,none,none
3611,Turn the lights off,deactivate,lights,none
3612,Turn on the lights in the bedroom,activate,lights,bedroom
3613,Turn the temperature up,increase,heat,none
3614,Switch off the washroom lights,deactivate,lights,washroom
3615,Bring my socks,bring,socks,none
3616,Switch on the lamp,activate,lamp,none
3617,Play music,activate,music,none
3618,Bedroom lights on,activate,lights,bedroom
3619,Go get the newspaper,bring,newspaper,none
3620,That’s too loud,decrease,volume,none
3621,Switch on the kitchen lights,activate,lights,kitchen
3622,Volume mute,decrease,volume,none
3623,Open language settings,change language,none,none
3624,Turn the temperature up,increase,heat,none
3625,Lights on in the bedroom,activate,lights,bedroom
3626,Turn up the temperature,increase,heat,none
3627,Set my phone's language to German,change language,German,none
3628,Lamp on,activate,lamp,none
3629,Switch on the lights in the kitchen,activate,lights,kitchen
3630,Turn down the heat in the washroom,decrease,heat,washroom
3631,Turn down the heat,decrease,heat,none
3632,Turn on the bathroom lights,activate,lights,washroom
3633,Kitchen lights off,deactivate,lights,kitchen
3634,Switch languages,change language,none,none
3635,Bathroom heat up,increase,heat,washroom
3636,Kitchen lights on,activate,lights,kitchen
3637,Louder please,increase,volume,none
3638,Washroom heat down,decrease,heat,washroom
3639,Turn on the washroom lights,activate,lights,washroom
3640,Increase the volume,increase,volume,none
3641,Lights on in the bathroom,activate,lights,washroom
3642,Heat down,decrease,heat,none
3643,Increase the heating in the washroom,increase,heat,washroom
3644,I need volume,increase,volume,none
3645,Turn the temperature down in the bathroom,decrease,heat,washroom
3646,Decrease the temperature in the bathroom,decrease,heat,washroom
3647,Turn on the lights in the bedroom,activate,lights,bedroom
3648,Increase the temperature in the bathroom,increase,heat,washroom
3649,Switch off the lights in the kitchen,deactivate,lights,kitchen
3650,Bathroom heat down,decrease,heat,washroom
3651,Decrease the temperature in the washroom,decrease,heat,washroom
3652,Turn the washroom lights off,deactivate,lights,washroom
3653,Get me the newspaper,bring,newspaper,none
3654,Change the language,change language,none,none
3655,Could you increase the heating?,increase,heat,none
3656,Bring my socks,bring,socks,none
3657,Louder,increase,volume,none
3658,Set my phone's language to German,change language,German,none
3659,Volume down,decrease,volume,none
3660,I need volume,increase,volume,none
3661,Turn the washroom lights off,deactivate,lights,washroom
3662,Increase the temperature in the washroom,increase,heat,washroom
3663,Go get me some juice,bring,juice,none
3664,Switch off the lights in the kitchen,deactivate,lights,kitchen
3665,Resume,activate,music,none
3666,Too loud,decrease,volume,none
3667,Switch the lights on,activate,lights,none
3668,Put on the music,activate,music,none
3669,I can't hear that,increase,volume,none
3670,Lights on in the bedroom,activate,lights,bedroom
3671,Louder,increase,volume,none
3672,"It’s too loud, turn it down",decrease,volume,none
3673,Switch off the lights in the bedroom,deactivate,lights,bedroom
3674,Set the language,change language,none,none
3675,Set my phone's language to English,change language,English,none
3676,Bring my socks,bring,socks,none
3677,Bring socks,bring,socks,none
3678,Turn the heat down in the washroom,decrease,heat,washroom
3679,OK now switch the main language to German,change language,German,none
3680,"It’s too loud, turn the volume down",decrease,volume,none
3681,Turn the temperature in the bedroom up,increase,heat,bedroom
3682,More heat,increase,heat,none
3683,Decrease audio volume,decrease,volume,none
3684,Switch the language,change language,none,none
3685,Increase the temperature,increase,heat,none
3686,I need volume,increase,volume,none
3687,Increase the heating in the washroom,increase,heat,washroom
3688,Lights on in the bedroom,activate,lights,bedroom
3689,Decrease the heating in the bedroom,decrease,heat,bedroom
3690,Turn off the lamp,deactivate,lamp,none
3691,Switch the bedroom lights on,activate,lights,bedroom
3692,Switch on the kitchen lights,activate,lights,kitchen
3693,Bring me some juice,bring,juice,none
3694,Less heat,decrease,heat,none
3695,Turn the bedroom lights off,deactivate,lights,bedroom
3696,More heat,increase,heat,none
3697,Bring my socks,bring,socks,none
3698,Switch off the washroom lights,deactivate,lights,washroom
3699,Decrease audio volume,decrease,volume,none
3700,Turn the volume down,decrease,volume,none
3701,Lamp off,deactivate,lamp,none
3702,Lights off in the washroom,deactivate,lights,washroom
3703,That’s too loud,decrease,volume,none
3704,Turn the bedroom heat up,increase,heat,bedroom
3705,Turn off the kitchen lights,deactivate,lights,kitchen
3706,Lamp on,activate,lamp,none
3707,Set my phone's language to Korean,change language,Korean,none
3708,I need to practice my Korean. Switch the language,change language,Korean,none
3709,Too quiet,increase,volume,none
3710,Louder please,increase,volume,none
3711,Set language to English,change language,English,none
3712,Turn up the temperature in the kitchen,increase,heat,kitchen
3713,I need to practice my English. Switch the language,change language,English,none
3714,Switch off the lamp,deactivate,lamp,none
3715,Turn off the music,deactivate,music,none
3716,Turn the volume up,increase,volume,none
3717,Turn the bedroom lights on,activate,lights,bedroom
3718,Switch off the lamp,deactivate,lamp,none
3719,I need volume,increase,volume,none
3720,Turn down the heat in the washroom,decrease,heat,washroom
3721,Louder phone,increase,volume,none
3722,Lights on in the bedroom,activate,lights,bedroom
3723,OK now switch the main language to English,change language,English,none
3724,Bring socks,bring,socks,none
3725,Turn down the temperature in the bedroom,decrease,heat,bedroom
3726,Heat up,increase,heat,none
3727,Turn down the temperature in the kitchen,decrease,heat,kitchen
3728,Turn on the kitchen lights,activate,lights,kitchen
3729,Turn up the washroom temperature,increase,heat,washroom
3730,Turn up the temperature in the bedroom,increase,heat,bedroom
3731,Turn the lamp on,activate,lamp,none
3732,Switch off the lights in the kitchen,deactivate,lights,kitchen
3733,Turn off the washroom lights,deactivate,lights,washroom
3734,Bring me my shoes,bring,shoes,none
3735,Switch off the lamp,deactivate,lamp,none
3736,Turn up the bedroom heat,increase,heat,bedroom
3737,Lights on in the bathroom,activate,lights,washroom
3738,Turn down the bedroom heat,decrease,heat,bedroom
3739,Lights off,deactivate,lights,none
3740,Turn the sound up,increase,volume,none
3741,Turn down the temperature in the bedroom,decrease,heat,bedroom
3742,Open language settings,change language,none,none
3743,Turn the lights on,activate,lights,none
3744,Bedroom lights on,activate,lights,bedroom
3745,Turn on the kitchen lights,activate,lights,kitchen
3746,Switch off the lights,deactivate,lights,none
3747,Stop music,deactivate,music,none
3748,Turn up the heat in the washroom,increase,heat,washroom
3749,Lamp off,deactivate,lamp,none
3750,Turn sound up,increase,volume,none
3751,Pause the music,deactivate,music,none
3752,Volume down,decrease,volume,none
3753,Kitchen lights off,deactivate,lights,kitchen
3754,Make it cooler,decrease,heat,none
3755,Switch off the lights,deactivate,lights,none
3756,I need to practice my Chinese. Switch the language,change language,Chinese,none
3757,Turn on the lights in the bedroom,activate,lights,bedroom
3758,Fetch my shoes,bring,shoes,none
3759,Allow a different language,change language,none,none
3760,"It’s too loud, turn it down",decrease,volume,none
3761,Turn down the heat in the kitchen,decrease,heat,kitchen
3762,Switch on the lights in the kitchen,activate,lights,kitchen
3763,Go get me some juice,bring,juice,none
3764,Volume lower,decrease,volume,none
3765,Turn up the bathroom temperature,increase,heat,washroom
3766,Turn off the washroom lights,deactivate,lights,washroom
3767,Far too quiet,increase,volume,none
3768,Get me my shoes,bring,shoes,none
3769,Get me the newspaper,bring,newspaper,none
3770,Bring the newspaper,bring,newspaper,none
3771,Increase the temperature,increase,heat,none
3772,Use a different language,change language,none,none
3773,Increase the sound volume,increase,volume,none
3774,Start the music,activate,music,none
3775,Washroom lights off,deactivate,lights,washroom
3776,"I couldn't hear anything, turn up the volume",increase,volume,none
3777,Turn the temperature up,increase,heat,none
3778,Increase the sound,increase,volume,none
3779,Increase the temperature in the bedroom,increase,heat,bedroom
3780,Switch languages,change language,none,none
3781,Turn up the heat in the washroom,increase,heat,washroom
3782,Bring newspaper,bring,newspaper,none
3783,Turn down the bathroom temperature,decrease,heat,washroom
3784,Turn sound up,increase,volume,none
3785,Play,activate,music,none
3786,Turn up the heat,increase,heat,none
3787,Turn the heat down in the bathroom,decrease,heat,washroom
3788,Quieter,decrease,volume,none
3789,Get me some juice,bring,juice,none
3790,Turn down the volume,decrease,volume,none
3791,Switch the bedroom lights off,deactivate,lights,bedroom
3792,Change system language,change language,none,none
3793,Turn it up,increase,volume,none
3794,I need to practice my Korean. Switch the language,change language,Korean,none
3795,Switch the lights off in the kitchen,deactivate,lights,kitchen
3796,Turn the temperature in the bedroom down,decrease,heat,bedroom
3797,Switch the language,change language,none,none
3798,Bring socks,bring,socks,none
3799,Go get me some juice,bring,juice,none
3800,Make it cooler,decrease,heat,none
3801,Decrease the heating in the bedroom,decrease,heat,bedroom
3802,Washroom lights on,activate,lights,washroom
3803,Decrease audio volume,decrease,volume,none
3804,Louder please,increase,volume,none
3805,Bring newspaper,bring,newspaper,none
3806,Decrease the heating in the bedroom,decrease,heat,bedroom
3807,Turn the volume down,decrease,volume,none
3808,Increase the heating in the washroom,increase,heat,washroom
3809,Switch the bedroom lights on,activate,lights,bedroom
3810,Turn up the bathroom temperature,increase,heat,washroom
3811,Switch off the lights in the kitchen,deactivate,lights,kitchen
3812,Turn the washroom lights on,activate,lights,washroom
3813,Turn up the temperature in the kitchen,increase,heat,kitchen
3814,Pause the music,deactivate,music,none
3815,Switch the lights off,deactivate,lights,none
3816,Turn off the kitchen lights,deactivate,lights,kitchen
3817,Volume up,increase,volume,none
3818,Bring me the newspaper,bring,newspaper,none
3819,Turn the heat down,decrease,heat,none
3820,Change the language,change language,none,none
3821,Open language settings,change language,none,none
3822,Play the music,activate,music,none
3823,I need volume,increase,volume,none
3824,Turn the heat down in the bathroom,decrease,heat,washroom
3825,Make it quieter,decrease,volume,none
3826,Fetch the newspaper,bring,newspaper,none
3827,Turn the temperature up,increase,heat,none
3828,Turn off the music,deactivate,music,none
3829,Lights on,activate,lights,none
3830,Volume lower,decrease,volume,none
3831,Turn the lamp on,activate,lamp,none
3832,Bring me my socks,bring,socks,none
3833,Increase the heating,increase,heat,none
3834,Increase the temperature in the washroom,increase,heat,washroom
3835,Switch the lights off in the kitchen,deactivate,lights,kitchen
3836,Decrease audio volume,decrease,volume,none
3837,Less heat,decrease,heat,none
3838,Turn the lights on,activate,lights,none
3839,Bring me my socks,bring,socks,none
3840,Turn the lamp off,deactivate,lamp,none
3841,Volume mute,decrease,volume,none
3842,Turn the heat down in the kitchen,decrease,heat,kitchen
3843,Bring newspaper,bring,newspaper,none
3844,OK now switch the main language to Korean,change language,Korean,none
3845,Turn the kitchen temperature down,decrease,heat,kitchen
3846,Switch on the kitchen lights,activate,lights,kitchen
3847,Increase the heating in the bedroom,increase,heat,bedroom
3848,Switch the kitchen lights on,activate,lights,kitchen
3849,Turn off the lamp,deactivate,lamp,none
3850,Switch on the lamp,activate,lamp,none
3851,Go get me my socks,bring,socks,none
3852,Turn up the heat in the washroom,increase,heat,washroom
3853,Go get me my shoes,bring,shoes,none
3854,"I need to hear this, increase the volume",increase,volume,none
3855,Turn it up,increase,volume,none
3856,Pause the music,deactivate,music,none
3857,Decrease sound levels,decrease,volume,none
3858,Too loud,decrease,volume,none
3859,Switch on the lamp,activate,lamp,none
3860,Kitchen heat down,decrease,heat,kitchen
3861,Turn down the washroom temperature,decrease,heat,washroom
3862,Switch on the lamp,activate,lamp,none
3863,Turn the kitchen lights on,activate,lights,kitchen
3864,Lights on in the bedroom,activate,lights,bedroom
3865,Turn up the heat,increase,heat,none
3866,Bring socks,bring,socks,none
3867,Turn the bedroom heat up,increase,heat,bedroom
3868,I need to practice my English. Switch the language,change language,English,none
3869,Turn up the temperature in the kitchen,increase,heat,kitchen
3870,I need to practice my Korean. Switch the language,change language,Korean,none
3871,Make the music louder,increase,volume,none
3872,Switch the lights off,deactivate,lights,none
3873,Decrease audio volume,decrease,volume,none
3874,Increase the temperature in the bathroom,increase,heat,washroom
3875,Fetch my shoes,bring,shoes,none
3876,Increase the temperature in the bedroom,increase,heat,bedroom
3877,Increase the temperature in the bedroom,increase,heat,bedroom
3878,Decrease the temperature in the bedroom,decrease,heat,bedroom
3879,Increase the volume,increase,volume,none
3880,Bring juice,bring,juice,none
3881,Fetch my shoes,bring,shoes,none
3882,Increase the heating in the kitchen,increase,heat,kitchen
3883,Get me my shoes,bring,shoes,none
3884,Could you increase the heating please?,increase,heat,none
3885,Bring some juice,bring,juice,none
